,Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
0,924199,Plant Equip Related Work,REPAIR LEAKING WASTE WATER LINE AT END OF 1008 STEAMER,Supervisor Review,PMDA,D52,C52,MT,2024-05-13 07:13:00,EHAMMILL,5/13/2024,5/13/2024,5/13/2024 7:15,5/13/2024,,,
1,924184,Breakdown-Prodn Equip Cannot Run,Hydraulic leak ,Supervisor Review,PMDA,D21A,M09995,MT,2024-05-13 05:28:00,RADAMS,5/13/2024,5/13/2024,5/13/2024 5:29,5/13/2024,,,
2,923213,Breakdown-Prodn Equip Cannot Run,low pressure accumulator leaking,Hold,PMDA,D10,M02930,MT,2024-05-08 10:16:00,LBRUZAS,5/8/2024,5/8/2024,,5/8/2024,,,
3,922653,Breakdown-Prodn Equip Cannot Run,Investigate leak in tub ,Released,PMDA,D19B,M04207,MT,2024-05-06 09:08:00,SMCLELLAN,5/17/2024,5/17/2024,,5/6/2024,,,KEN.DUNFORD
4,922365,Breakdown-Prodn Equip Cannot Run,air leak on gripper,Completed,PMDA,D19B,M06008,MT,2024-05-05 01:41:00,MMOORE,5/5/2024,5/5/2024,5/5/2024 1:43,5/5/2024,,,
5,922005,Breakdown-Prodn Equip Cannot Run,Brake Air line Leak,Supervisor Review,PMDA,D03,M02590,MT,2024-05-02 17:53:00,RADAMS,5/2/2024,5/2/2024,5/2/2024 17:54,5/2/2024,,,
6,921912,Safety,M08522 major coolant/oil leak,Hold,PMDA,D61,M08522,MT,2024-05-02 14:13:00,SBATHURST,5/2/2024,5/2/2024,,5/2/2024,,,
7,921299,Breakdown-Prodn Equip Cannot Run,273 Quick exhaust valves leaking,Released,PMDA,D03,M02730,MT,2024-04-30 18:11:00,MDUARTE,4/30/2024,4/30/2024,,4/30/2024,,,
8,920856,Breakdown-Prodn Equip Cannot Run,Air leak,Completed,PMDA,D19B,M06008,MT,2024-04-30 05:13:00,KEN.DUNFORD,4/30/2024,4/30/2024,4/30/2024 5:20,4/30/2024,,,
9,920851,Breakdown-Prodn Equip Cannot Run,Coolant leak,Released,PMDA,D21A,M06020,MT,2024-04-30 05:06:00,KEN.DUNFORD,4/30/2024,4/30/2024,,4/30/2024,,,
10,920646,Breakdown-Prodn Equip Cannot Run,Coolant leak,Released,PMDA,D21C,M09922,MT,2024-04-29 11:05:00,SMCLELLAN,5/13/2024,5/13/2024,,4/29/2024,,,MDUARTE
