,Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
864,923136,Breakdown-Prodn Equip Cannot Run,Air Regulator Clamp,Completed,PMDA,D21A,M09930,MT,2024-05-08 05:36:00,RADAMS,5/8/2024,5/8/2024,5/8/2024 5:37,5/8/2024,,,
866,923130,Breakdown-Prodn Equip Cannot Run,air regulator clamp,Ready to Schedule,PMDA,D19A,M09820,MT,2024-05-08 04:45:00,JPATTEN,5/8/2024,5/8/2024,,5/8/2024,,,
868,923073,Breakdown-Prodn Equip Cannot Run,coolant issues,Released,PMDA,D22B,M00576,MT,2024-05-07 19:01:00,CSAVA,5/7/2024,5/7/2024,,5/7/2024,,,
875,922935,Plant Equip Related Work,REPLACE OIL WATER SEPARATOR NANO TOTE,Hold,PMDA,D53,M08052,MT,2024-05-07 09:25:00,EHAMMILL,5/7/2024,5/7/2024,,5/7/2024,,,
887,922670,Breakdown-Prodn Equip Cannot Run,remove head 2 for repair before WO911623,Ready to Schedule,PMDA,D21B,M06058,MT,2024-05-06 09:22:00,SMCLELLAN,5/6/2024,5/6/2024,,5/6/2024,,,
894,922501,Breakdown-Prodn Equip Cannot Run,low oil coolant flow,Completed,PMDA,D19B,M04006,MT,2024-05-06 04:45:00,MMOORE,5/6/2024,5/6/2024,5/6/2024 4:48,5/6/2024,,,
898,922365,Breakdown-Prodn Equip Cannot Run,air leak on gripper,Completed,PMDA,D19B,M06008,MT,2024-05-05 01:41:00,MMOORE,5/5/2024,5/5/2024,5/5/2024 1:43,5/5/2024,,,
909,922221,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Repair or replace with correct materials bucket hanging from ceiling @ 3070,Requested Work,PMDA,D01,M03070,MT,2024-05-03 14:07:00,TKUSH,5/3/2024,5/3/2024,,5/3/2024,,,
925,922021,Breakdown-Prodn Equip Cannot Run,dial table  & air pressure fault,Completed,PMDA,D10,M04180,MT,2024-05-02 20:05:00,CSAVA,5/2/2024,5/2/2024,5/3/2024 6:16,5/2/2024,,,
927,922005,Breakdown-Prodn Equip Cannot Run,Brake Air line Leak,Completed,PMDA,D03,M02590,MT,2024-05-02 17:53:00,RADAMS,5/2/2024,5/2/2024,5/2/2024 17:54,5/2/2024,,,
930,921912,Safety,M08522 major coolant/oil leak,Hold,PMDA,D61,M08522,MT,2024-05-02 14:13:00,SBATHURST,5/2/2024,5/2/2024,,5/2/2024,,,
932,921891,Breakdown-Prodn Equip Cannot Run,2830 top punch hold down booster air not working,Completed,PMDA,D01,M02830,MT,2024-05-02 13:23:00,KFAIRWEATHER,5/2/2024,5/2/2024,5/2/2024 13:28,5/2/2024,,,
942,921840,Breakdown-Prodn Equip Cannot Run,coolant sensor fault ,Completed,PMDA,D11,M04070,MT,2024-05-02 09:14:00,JPATTEN,5/2/2024,5/2/2024,5/4/2024 15:55,5/2/2024,,,
