Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
916852,Breakdown-Prodn Equip Cannot Run,7220 leak at the coil,Completed,PMDA,D18A,M07220,MT,4/16/2024 5:16,MDUARTE,4/16/2024,4/16/2024,4/16/2024 5:19,4/16/2024,,,
916047,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",6400 Deburr leak,Requested Work,PMDA,D19A,M06400,MT,4/12/2024 9:15,JDAVIES,4/12/2024,4/12/2024,,4/12/2024,,,
915864,Plant Equip Related Work,WASTE WATER LEAK BY END OF 1008 STEAMER,Completed,PMDA,D52,C52,MT,4/11/2024 14:28,EHAMMILL,4/11/2024,4/11/2024,4/11/2024 14:30,4/11/2024,,,
915848,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Cleanout - oil leaking into coolant caused heavy oil contamination,Completed,PMDA,D19B,M04030,MT,4/11/2024 10:48,SCURRAN,4/14/2024,4/14/2024,4/22/2024 7:27,4/11/2024,,,NSIMON
915754,Breakdown-Prodn Equip Cannot Run,all steamers have water leaking at unload,Completed,PMDA,D13C,M01008,MT,4/11/2024 4:16,RMALONEY,4/11/2024,4/11/2024,4/11/2024 4:19,4/11/2024,,,
915153,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Oil leak at the back,Released,PMDA,D21C,M05700,MT,4/9/2024 12:17,,5/6/2024,5/6/2024,,4/9/2024,,,OESCOBAR
915152,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Oil leak at filter change,Originator Review,PMDA,D21C,M05700,MT,4/9/2024 12:15,,5/6/2024,5/6/2024,5/6/2024 10:13,4/9/2024,,,OESCOBAR
915151,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Robot Pickup station leak inside the grinder,Released,PMDA,D21C,M05700,MT,4/9/2024 12:13,,5/6/2024,5/6/2024,,4/9/2024,,,OESCOBAR
915150,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Filter change area oil leak,Originator Review,PMDA,D21C,M05710,MT,4/9/2024 12:12,,4/27/2024,4/27/2024,4/27/2024 13:18,4/9/2024,,,LDAVIE
915149,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Grinder Oil leak underneath ,Released,PMDA,D21C,M05710,MT,4/9/2024 12:10,,4/23/2024,4/23/2024,,4/9/2024,,,OESCOBAR
915147,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Deburr Inlet conveyor coolant leak,Completed,PMDA,D21B,M06058,MT,4/9/2024 12:09,,4/27/2024,4/27/2024,4/28/2024 3:05,4/9/2024,,,LDAVIE
915146,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Oil Skimmer is leaking,Supervisor Review,PMDA,D13A,M06775,MT,4/9/2024 12:07,,5/3/2024,5/3/2024,5/11/2024 14:27,4/9/2024,,,OESCOBAR
915134,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Coolant leak underneath the washer. Coolant and oil inside the washer ,Released,PMDA,D13A,M06775,MT,4/9/2024 11:32,RBROWN,5/12/2024,5/12/2024,,4/9/2024,,,OESCOBAR
915078,Breakdown-Prodn Equip Cannot Run,Hydraulic leak ,Completed,PMDA,D19B,M04030,MT,4/9/2024 5:46,,4/9/2024,4/9/2024,4/9/2024 5:58,4/9/2024,,,
914693,Breakdown-Prodn Equip Cannot Run,oil leak from core rod,Completed,PMDA,D04,M02250,MT,4/8/2024 9:33,LBRUZAS,4/8/2024,4/8/2024,4/8/2024 9:35,4/8/2024,,,
914484,Breakdown-Prodn Equip Cannot Run,air leak ,Completed,PMDA,D17C,M06839,MT,4/6/2024 16:56,RMALONEY,4/6/2024,4/6/2024,4/6/2024 16:59,4/6/2024,,,
914274,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Leak to be repaired at the end of wash,Completed,PMDA,D21B,M06750,MT,4/5/2024 12:15,,4/21/2024,4/21/2024,4/21/2024 14:30,4/5/2024,,,MMOORE
914179,Breakdown-Prodn Equip Cannot Run,Air leak ,Completed,PMDA,D11,M04560,MT,4/5/2024 2:54,OESCOBAR,4/5/2024,4/5/2024,4/5/2024 5:53,4/5/2024,,,
914028,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Hydraulic oil is leaking through chuck inside machine,Requested Work,PMDA,D19A,M09820,MT,4/4/2024 12:08,AVORA,4/4/2024,4/4/2024,,4/4/2024,,,
913696,Breakdown-Prodn Equip Cannot Run,COMPRESSOR 8059 HAS AIR LEAK AT JCI FITTING,Completed,PMDA,D53,M08059,MT,4/3/2024 9:35,EHAMMILL,4/3/2024,4/3/2024,4/3/2024 14:14,4/3/2024,,,
913491,Plant Equip Related Work,RO WATER LEAK BETWEEN 1010 AND 1011 AGAIN,Released,PMDA,D13C,M01011,MT,4/2/2024 13:53,EHAMMILL,4/2/2024,4/2/2024,,4/2/2024,,,
913385,Breakdown-Prodn Equip Cannot Run,M09905 Oil leak @ rotray union,Cancelled,PMDA,D21B,M09905,MT,4/2/2024 9:22,SBATHURST,4/19/2024,4/19/2024,4/20/2024 5:37,4/2/2024,,,MDUARTE
913271,Breakdown-Prodn Equip Cannot Run,2630 bottom platen quick exhaust valve leaking,Completed,PMDA,D03,M02630,MT,4/1/2024 14:24,KFAIRWEATHER,4/1/2024,4/1/2024,4/1/2024 14:28,4/1/2024,,,
913181,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",2250.03H Rebuild (leaking),Hold,PMDA,D04,M02250.03H,MT,4/1/2024 10:55,JSINGH,4/1/2024,4/1/2024,,4/1/2024,,,
912922,Breakdown-Prodn Equip Cannot Run,Air Leaks ,Released,PMDA,D21A,M06647,MT,3/30/2024 18:05,,5/15/2024,5/15/2024,,3/30/2024,,,JPATTEN
912652,Breakdown-Prodn Equip Cannot Run,re seal valve in pit that has a bad leak,Supervisor Review,PMDA,D07,M02000,MT,3/28/2024 14:28,LBRUZAS,3/28/2024,3/28/2024,4/5/2024 6:44,3/28/2024,,,
912292,Breakdown-Prodn Equip Cannot Run,fitting leaking,Completed,PMDA,D21B,M06070,MT,3/27/2024 5:25,LDAVIE,3/27/2024,3/27/2024,3/27/2024 5:29,3/27/2024,,,
912067,Breakdown-Prodn Equip Cannot Run,AIR OR WATER LEAK CAUSING OXIDE PARTS,Hold,PMDA,D06,M03150,MT,3/26/2024 11:49,EHAMMILL,3/26/2024,3/26/2024,,3/26/2024,,,
911066,Breakdown-Prodn Equip Cannot Run,Air Leak At Gauge ,Completed,PMDA,D19B,M04207,MT,3/21/2024 5:54,,3/21/2024,3/21/2024,3/23/2024 14:22,3/21/2024,,,
910846,Breakdown-Prodn Equip Cannot Run,water leak,Completed,PMDA,D20,M10229,MT,3/20/2024 5:18,RMALONEY,3/20/2024,3/20/2024,3/20/2024 5:21,3/20/2024,,,
910312,Breakdown-Prodn Equip Cannot Run,Magnetic transfer air leak ,Completed,PMDA,D18A,M07597,MT,3/18/2024 6:07,,3/18/2024,3/18/2024,3/18/2024 6:08,3/18/2024,,,
910133,Breakdown-Prodn Equip Cannot Run,hyd leak,Completed,PMDA,D04,M02250,MT,3/16/2024 5:36,JPATTEN,3/16/2024,3/16/2024,3/16/2024 5:41,3/16/2024,,,
910009,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Air leak.,Completed,PMDA,D18A,M06210,MT,3/15/2024 14:45,,3/15/2024,3/15/2024,3/15/2024 14:54,3/15/2024,,,
909985,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Fix the coolant contamination on the air catch tubes or cross-media coolant leak,Hold,PMDA,D19A,M09820,MT,3/15/2024 13:33,AVORA,4/11/2024,4/11/2024,,3/15/2024,,,RMALONEY
909983,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Trouble shoot and fix the hydraulic leaking issue on the top of the rotary union,Hold,PMDA,D19A,M09820,MT,3/15/2024 13:30,AVORA,4/11/2024,4/11/2024,,3/15/2024,,,RMALONEY
909401,Breakdown-Prodn Equip Cannot Run,Cylinder air leak ,Completed,PMDA,D15A,M09553,MT,3/13/2024 5:40,,3/13/2024,3/13/2024,3/13/2024 5:41,3/13/2024,,,
908700,Breakdown-Prodn Equip Cannot Run,air leaks on robot,Completed,PMDA,D15A,M07200,MT,3/8/2024 16:29,RMALONEY,3/8/2024,3/8/2024,3/8/2024 18:15,3/8/2024,,,
908430,Plant Equip Related Work,"HURST BOILER NEEDS NEW BLOW DOWN SOLENOID, LEAKING",Completed,PMDA,D53,M00170,MT,3/7/2024 10:59,EHAMMILL,3/7/2024,3/7/2024,3/10/2024 12:28,3/7/2024,,,
908342,Breakdown-Prodn Equip Cannot Run,Hydraulic leak ,Completed,PMDA,D21A,M06647,MT,3/6/2024 18:12,,3/6/2024,3/6/2024,3/6/2024 18:15,3/6/2024,,,
907988,Breakdown-Prodn Equip Cannot Run,powder leak,Completed,PMDA,D01,M02790,MT,3/5/2024 17:44,RMALONEY,3/5/2024,3/5/2024,3/5/2024 17:46,3/5/2024,,,
906622,Plant Equip Related Work,RO WATER LEAK BETWEEN 1010 AND 1011,Completed,PMDA,D13C,M01011,MT,2/28/2024 14:35,EHAMMILL,2/28/2024,2/28/2024,2/28/2024 14:42,2/28/2024,,,
906618,Breakdown-Prodn Equip Cannot Run,M02460 Crown pump leaking,Completed,PMDA,D02,M02460,MT,2/28/2024 13:41,SBATHURST,2/28/2024,2/28/2024,4/13/2024 11:52,2/28/2024,,,
906328,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State","Clean out, check for leaks, check PH",Completed,PMDA,D19B,M04030,MT,2/27/2024 11:18,SCURRAN,2/27/2024,3/8/2024,3/3/2024 14:43,2/27/2024,,,NSIMON
906327,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State","Clean out, check for leaks, check PH",Completed,PMDA,D19B,M06008,MT,2/27/2024 11:16,SCURRAN,2/27/2024,3/8/2024,3/3/2024 14:45,2/27/2024,,,NSIMON
906326,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State","Clean out, check for leaks, check PH",Completed,PMDA,D19B,M06022,MT,2/27/2024 11:15,SCURRAN,2/28/2024,3/8/2024,3/3/2024 14:44,2/27/2024,,,NSIMON
905993,Breakdown-Prodn Equip Cannot Run,oil leak on234 crown,Hold,PMDA,D03,M02340,MT,2/26/2024 9:21,KFAIRWEATHER,2/26/2024,2/26/2024,,2/26/2024,,,
905784,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",coolant leak on washer ,Requested Work,PMDA,D19B,M04312,MT,2/24/2024 9:35,JLE,2/24/2024,2/24/2024,,2/24/2024,,,
905208,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Air tool oil is leaking ,Completed,PMDA,D19B,M04003,MT,2/21/2024 17:04,AVORA,3/10/2024,3/10/2024,3/12/2024 8:24,2/21/2024,,,MMOORE
905206,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Cutting oil is coming out from robot loading door. Need to seal leakge.,Ready to Schedule,PMDA,D19B,M04004,MT,2/21/2024 16:50,AVORA,2/21/2024,2/21/2024,,2/21/2024,,,
905172,Breakdown-Prodn Equip Cannot Run,Coolant leak,Completed,PMDA,D16B,M04400,MT,2/21/2024 14:43,,2/21/2024,2/21/2024,2/21/2024 14:44,2/21/2024,,,
905104,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",broken plastic guard leaking coolant,Ready to Schedule,PMDA,D16B,M04400,MT,2/21/2024 10:26,,2/21/2024,2/21/2024,,2/21/2024,,,
903788,Breakdown-Prodn Equip Cannot Run,2460 core rod hydrulic cylinder leak,Ready to Schedule,PMDA,D02,M02460,MT,2/14/2024 7:51,KFAIRWEATHER,2/14/2024,2/14/2024,,2/14/2024,,,
903021,Breakdown-Prodn Equip Cannot Run,M09250 Hyd leak,Completed,PMDA,D17A,M09250,MT,2/9/2024 14:13,SBATHURST,2/9/2024,2/9/2024,2/11/2024 12:23,2/9/2024,,,
902946,Breakdown-Prodn Equip Cannot Run,air fitting leaking,Completed,PMDA,D21A,M06652,MT,2/9/2024 6:08,LDAVIE,2/9/2024,2/9/2024,2/9/2024 6:10,2/9/2024,,,
902641,Breakdown-Prodn Equip Cannot Run,Air leak / Magnetic Arm ,Completed,PMDA,D18A,M07597,MT,2/7/2024 18:02,,2/7/2024,2/7/2024,2/7/2024 18:04,2/7/2024,,,
